MoviePersonID(Integer),FirstName(String),LastName(String),CrewTitleID(Integer),MovieID(Integer),Title(String),YearReleased(Integer),Quantity(Integer)
1060,Nelly,,1,123,The Longest Yard ,2005,14
1259,Raven,,1,148,Doctor Dolittle ,1998,23
1259,Raven,,1,258,Dr. Dolittle 2 ,2001,12
1641,Ludacris,,1,200,2 Fast 2 Furious ,2003,13
1918,Eminem,,1,243,8 Mile ,2002,27
2182,Madonna,,1,283,A League of Their Own ,1992,22
169,Vivica,A. Fox,1,20,Independence Day ,1996,20
169,Vivica,A. Fox,1,284,Batman & Robin ,1997,22
683,Rodney,A. Grant,1,77,Dances with Wolves ,1990,14
1131,Miguel,A. Núñez Jr.,1,133,Scooby-Doo ,2002,26
754,Bruce,A. Young,1,85,Jurassic Park III ,2001,28
754,Bruce,A. Young,1,238,Basic Instinct ,1992,33
754,Bruce,A. Young,1,300,Phenomenon ,1996,26
2418,Tony,Abatemarco,1,319,Sleeping with the Enemy ,1991,16
1594,Paula,Abdul,1,194,Robots ,2005,5
961,Jon,Abrahams,1,110,Meet the Parents ,2000,22
961,Jon,Abrahams,1,125,Scary Movie ,2000,20
1190,Joss,Ackland,1,140,Lethal Weapon 2 ,1989,24
1190,Joss,Ackland,1,224,The Hunt for Red October ,1990,36
981,Amy,Adams,1,113,Catch Me If You Can ,2002,22
1360,Jonathan,Adams,1,160,The Rocky Horror Picture Show ,1975,6
1625,R.J.,Adams,1,197,Rocky IV ,1985,17
478,Bruce,Adler,1,53,Aladdin ,1992,56
593,Ben,Affleck,1,66,Armageddon ,1998,9
593,Ben,Affleck,1,68,Pearl Harbor ,2001,29
593,Ben,Affleck,1,166,Good Will Hunting ,1997,16
593,Ben,Affleck,1,237,The Sum of All Fears ,2002,12
593,Ben,Affleck,1,312,Daredevil ,2003,31
1401,Casey,Affleck,1,166,Good Will Hunting ,1997,16
1865,Liam,Aiken,1,235,Lemony Snicket's A Series of Unfortunate Events ,2004,24
1865,Liam,Aiken,1,304,Road to Perdition ,2002,26
590,Adewale,Akinnuoye-Agbaje,1,65,The Mummy Returns ,2001,24
590,Adewale,Akinnuoye-Agbaje,1,221,The Bourne Identity ,2002,19
590,Adewale,Akinnuoye-Agbaje,1,279,Ace Ventura: When Nature Calls ,1995,15
1351,David,Alan Grier,1,159,Stuart Little ,1999,24
1351,David,Alan Grier,1,337,Jumanji ,1995,27
2386,Gregory,Alan Williams,1,313,In the Line of Fire ,1993,8
2475,Joe,Alaskey,1,331,The Rugrats Movie ,1998,11
1098,Jessica,Alba,1,129,Fantastic Four ,2005,7
534,Ellen,Albertini Dow,1,59,Wedding Crashers ,2005,15
534,Ellen,Albertini Dow,1,161,Sister Act ,1992,30
2357,Hardie,Albright,1,309,Bambi ,1942,28
715,Alan,Alda,1,81,What Women Want ,2000,8
715,Alan,Alda,1,311,The Aviator ,2004,18
1575,John,Ales,1,191,The Nutty Professor ,1996,22
1575,John,Ales,1,216,Nutty Professor II: The Klumps ,2000,32
783,Jason,Alexander,1,89,Pretty Woman ,1990,15
783,Jason,Alexander,1,339,The Hunchback of Notre Dame ,1996,13
1582,Jane,Alexander,1,192,The Ring ,2002,16
1582,Jane,Alexander,1,292,Kramer vs. Kramer ,1979,10
2137,Jace,Alexander,1,274,Crocodile' Dundee II ,1988,30
2358,Stan,Alexander,1,309,Bambi ,1942,28
1370,Mary,Alice,1,162,The Matrix Revolutions ,2003,27
329,Tim,Allen,1,38,Toy Story 2 ,1999,42
329,Tim,Allen,1,71,Toy Story ,1995,19
329,Tim,Allen,1,144,The Santa Clause ,1994,14
329,Tim,Allen,1,163,The Santa Clause 2 ,2002,26
346,Karen,Allen,1,40,Raiders of the Lost Ark ,1981,23
346,Karen,Allen,1,82,The Perfect Storm ,2000,31
838,Joan,Allen,1,95,The Bourne Supremacy ,2004,18
838,Joan,Allen,1,261,Face/Off ,1997,36
1204,James,Allen,1,141,True Lies ,1994,26
1492,Krista,Allen,1,179,Anger Management ,2003,10
407,David,Allen Brooks,1,46,Cast Away ,2000,10
1339,Kirstie,Alley,1,158,Look Who's Talking ,1989,27
105,Bruce,Allpress,1,12,The Lord of the Rings: The Two Towers ,2002,38
955,Alexandra,Amini,1,109,Three Men and a Baby ,1987,19
1603,John,Amos,1,195,Coming to America ,1988,36
1603,John,Amos,1,240,Die Hard 2 ,1990,35
409,Valentina,Ananyina,1,46,Cast Away ,2000,10
1806,Elena,Anaya,1,227,Van Helsing ,2004,13
1890,Anthony,Anderson,1,239,Big Momma's House ,2000,14
2104,Pamela,Anderson,1,271,Scary Movie 3 ,2003,22
2414,Kevin,Anderson,1,319,Sleeping with the Enemy ,1991,16
27,Julie,Andrews,1,3,Shrek 2 ,2004,45
27,Julie,Andrews,1,115,The Sound of Music ,1965,10
27,Julie,Andrews,1,280,The Princess Diaries ,2001,19
27,Julie,Andrews,1,315,Mary Poppins ,1964,33
266,Maeve,Andrews,1,31,The Incredibles ,2004,21
978,David,Andrews,1,112,Hannibal ,2001,24
978,David,Andrews,1,137,Terminator 3: Rise of the Machines ,2003,11
2424,Miguel,Ángel Suárez,1,320,Stir Crazy ,1980,17
338,Jennifer,Aniston,1,39,Bruce Almighty ,2003,15
705,Cecelia,Ann Birt,1,80,Ocean's Eleven ,2001,36
794,Julie,Ann Emery,1,90,Hitch ,2005,17
903,Emily,Ann Lloyd,1,103,Apollo 13 ,1995,4
341,Lisa,Ann Walter,1,39,Bruce Almighty ,2003,15
341,Lisa,Ann Walter,1,45,War of the Worlds ,2005,13
926,Jo,Anne Worley,1,105,Beauty and the Beast ,1991,24
227,Ray,Anthony,1,27,The Matrix Reloaded ,2003,19
190,Peter,Anthony Tambakis,1,22,The Sixth Sense ,1999,25
228,Christine,Anu,1,27,The Matrix Reloaded ,2003,19
1643,Devon,Aoki,1,200,2 Fast 2 Furious ,2003,13
71,Noel,Appleby,1,8,The Lord of the Rings: The Return of the King ,2003,33
71,Noel,Appleby,1,17,The Lord of the Rings: The Fellowship of the Ring ,2001,21
1893,Phyllis,Applegate,1,239,Big Momma's House ,2000,14
912,Julian,Arahanga,1,104,The Matrix ,1999,28
650,Tomas,Arana,1,73,Gladiator ,2000,16
650,Tomas,Arana,1,219,The Bodyguard ,1992,27
1080,Anne,Archer,1,126,Fatal Attraction ,1987,31
1080,Anne,Archer,1,218,Clear and Present Danger ,1994,9
179,Lee,Arenberg,1,21,Pirates of the Caribbean: The Curse of the Black Pearl ,2003,21
1307,Asia,Argento,1,154,xXx ,2002,23
1967,Nicole,Ari Parker,1,248,Remember the Titans ,2000,33
797,Adam,Arkin,1,90,Hitch ,2005,17
589,Alun,Armstrong,1,65,The Mummy Returns ,2001,24
589,Alun,Armstrong,1,227,Van Helsing ,2004,13
1883,Denis,Arndt,1,238,Basic Instinct ,1992,33
229,Andy,Arness,1,27,The Matrix Reloaded ,2003,19
1198,Tom,Arnold,1,141,True Lies ,1994,26
2180,Rosanna,Arquette,1,282,Pulp Fiction ,1994,35
2343,David,Arquette,1,307,Scream ,1996,17
2343,David,Arquette,1,321,Scream 2 ,1997,38
23,Kelly,Asbury,1,3,Shrek 2 ,2004,45
387,John,Ashton,1,44,Beverly Hills Cop ,1984,22
387,John,Ashton,1,131,Beverly Hills Cop II ,1987,38
230,Alima,Ashton-Sheibu,1,27,The Matrix Reloaded ,2003,19
867,Edward,Asner,1,99,Elf ,2003,31
1949,Fred,Astaire,1,246,The Towering Inferno ,1974,17
72,Alexandra,Astin,1,8,The Lord of the Rings: The Return of the King ,2003,33
73,Sean,Astin,1,8,The Lord of the Rings: The Return of the King ,2003,33
73,Sean,Astin,1,12,The Lord of the Rings: The Two Towers ,2002,38
73,Sean,Astin,1,17,The Lord of the Rings: The Fellowship of the Ring ,2001,21
73,Sean,Astin,1,223,50 First Dates ,2004,29
74,David,Aston,1,8,The Lord of the Rings: The Return of the King ,2003,33
381,William,Atherton,1,43,Ghost Busters ,1984,13
381,William,Atherton,1,240,Die Hard 2 ,1990,35
381,William,Atherton,1,267,The Last Samurai ,2003,26
381,William,Atherton,1,328,The Pelican Brief ,1993,26
143,Rowan,Atkinson,1,15,The Lion King ,1994,28
143,Rowan,Atkinson,1,133,Scooby-Doo ,2002,26
99,Richard,Attenborough,1,11,Jurassic Park ,1993,20
99,Richard,Attenborough,1,47,The Lost World: Jurassic Park ,1997,35
671,Roy,Atwell,1,76,Snow White and the Seven Dwarfs ,1937,12
2018,Rene,Auberjonois,1,256,The Patriot ,2000,19
2018,Rene,Auberjonois,1,272,The Little Mermaid ,1989,38
2359,Bobette,Audrey,1,309,Bambi ,1942,28
48,Pernilla,August,1,5,Star Wars: Episode I - The Phantom Menace ,1999,22
48,Pernilla,August,1,18,Star Wars: Episode II - Attack of the Clones ,2002,23
769,Erick,Avari,1,87,Planet of the Apes ,2001,22
769,Erick,Avari,1,128,The Mummy ,1999,18
769,Erick,Avari,1,205,Mr. Deeds ,2002,15
2030,James,Avery,1,258,Dr. Dolittle 2 ,2001,12
2309,Brian,Avery,1,301,The Graduate ,1967,26
1170,Hoyt,Axton,1,138,Gremlins ,1984,8
377,Dan,Aykroyd,1,43,Ghost Busters ,1984,13
377,Dan,Aykroyd,1,223,50 First Dates ,2004,29
377,Dan,Aykroyd,1,260,Ghostbusters II ,1989,26
377,Dan,Aykroyd,1,290,Driving Miss Daisy ,1989,24
1442,Hank,Azaria,1,172,Godzilla ,1998,23
1442,Hank,Azaria,1,214,The Birdcage ,1996,22
