GenreName(String),Title(String),Price(Float)
History,Titanic ,23.95
History,Titanic ,23.95
History,Titanic ,23.95
History,Titanic ,23.95
History,Titanic ,23.95
History,Titanic ,23.95
History,Titanic ,23.95
History,Titanic ,23.95
Romance,Titanic ,23.95
Romance,Titanic ,23.95
Romance,Titanic ,23.95
Romance,Titanic ,23.95
Romance,Titanic ,23.95
Romance,Titanic ,23.95
Romance,Titanic ,23.95
Romance,Titanic ,23.95
Drama,Titanic ,23.95
Drama,Titanic ,23.95
Drama,Titanic ,23.95
Drama,Titanic ,23.95
Drama,Titanic ,23.95
Drama,Titanic ,23.95
Drama,Titanic ,23.95
Drama,Titanic ,23.95
History,Titanic ,19.45
History,Titanic ,19.45
History,Titanic ,19.45
History,Titanic ,19.45
History,Titanic ,19.45
History,Titanic ,19.45
Romance,Titanic ,19.45
Romance,Titanic ,19.45
Romance,Titanic ,19.45
Romance,Titanic ,19.45
Romance,Titanic ,19.45
Romance,Titanic ,19.45
Drama,Titanic ,19.45
Drama,Titanic ,19.45
Drama,Titanic ,19.45
Drama,Titanic ,19.45
Drama,Titanic ,19.45
Drama,Titanic ,19.45
History,Titanic ,16.45
History,Titanic ,16.45
History,Titanic ,16.45
History,Titanic ,16.45
History,Titanic ,16.45
Romance,Titanic ,16.45
Romance,Titanic ,16.45
Romance,Titanic ,16.45
Romance,Titanic ,16.45
Romance,Titanic ,16.45
Drama,Titanic ,16.45
Drama,Titanic ,16.45
Drama,Titanic ,16.45
Drama,Titanic ,16.45
Drama,Titanic ,16.45
Action,Star Wars ,20.99
Action,Star Wars ,20.99
Action,Star Wars ,20.99
Action,Star Wars ,20.99
Adventure,Star Wars ,20.99
Adventure,Star Wars ,20.99
Adventure,Star Wars ,20.99
Adventure,Star Wars ,20.99
Fantasy,Star Wars ,20.99
Fantasy,Star Wars ,20.99
Fantasy,Star Wars ,20.99
Fantasy,Star Wars ,20.99
Action,Star Wars ,19.45
Action,Star Wars ,19.45
Action,Star Wars ,19.45
Action,Star Wars ,19.45
Action,Star Wars ,19.45
Adventure,Star Wars ,19.45
Adventure,Star Wars ,19.45
Adventure,Star Wars ,19.45
Adventure,Star Wars ,19.45
Adventure,Star Wars ,19.45
Fantasy,Star Wars ,19.45
Fantasy,Star Wars ,19.45
Fantasy,Star Wars ,19.45
Fantasy,Star Wars ,19.45
Fantasy,Star Wars ,19.45
Action,Star Wars ,13.49
Action,Star Wars ,13.49
Action,Star Wars ,13.49
Action,Star Wars ,13.49
Action,Star Wars ,13.49
Adventure,Star Wars ,13.49
Adventure,Star Wars ,13.49
Adventure,Star Wars ,13.49
Adventure,Star Wars ,13.49
Adventure,Star Wars ,13.49
Fantasy,Star Wars ,13.49
Fantasy,Star Wars ,13.49
Fantasy,Star Wars ,13.49
Fantasy,Star Wars ,13.49
Fantasy,Star Wars ,13.49
Fantasy,Shrek 2 ,17.99
Fantasy,Shrek 2 ,17.99
Fantasy,Shrek 2 ,17.99
Fantasy,Shrek 2 ,17.99
Fantasy,Shrek 2 ,17.99
Fantasy,Shrek 2 ,17.99
Fantasy,Shrek 2 ,17.99
Fantasy,Shrek 2 ,17.99
Fantasy,Shrek 2 ,17.99
Family,Shrek 2 ,17.99
Family,Shrek 2 ,17.99
Family,Shrek 2 ,17.99
Family,Shrek 2 ,17.99
Family,Shrek 2 ,17.99
Family,Shrek 2 ,17.99
Family,Shrek 2 ,17.99
Family,Shrek 2 ,17.99
Family,Shrek 2 ,17.99
Animation,Shrek 2 ,17.99
Animation,Shrek 2 ,17.99
Animation,Shrek 2 ,17.99
Animation,Shrek 2 ,17.99
Animation,Shrek 2 ,17.99
Animation,Shrek 2 ,17.99
Animation,Shrek 2 ,17.99
Animation,Shrek 2 ,17.99
Animation,Shrek 2 ,17.99
Adventure,Shrek 2 ,17.99
Adventure,Shrek 2 ,17.99
Adventure,Shrek 2 ,17.99
Adventure,Shrek 2 ,17.99
Adventure,Shrek 2 ,17.99
Adventure,Shrek 2 ,17.99
Adventure,Shrek 2 ,17.99
Adventure,Shrek 2 ,17.99
Adventure,Shrek 2 ,17.99
Comedy,Shrek 2 ,17.99
Comedy,Shrek 2 ,17.99
Comedy,Shrek 2 ,17.99
Comedy,Shrek 2 ,17.99
Comedy,Shrek 2 ,17.99
Comedy,Shrek 2 ,17.99
Comedy,Shrek 2 ,17.99
Comedy,Shrek 2 ,17.99
Comedy,Shrek 2 ,17.99
Fantasy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Family,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Animation,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Adventure,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Comedy,Shrek 2 ,16.45
Fantasy,Shrek 2 ,21.49
Fantasy,Shrek 2 ,21.49
Fantasy,Shrek 2 ,21.49
Fantasy,Shrek 2 ,21.49
Fantasy,Shrek 2 ,21.49
Fantasy,Shrek 2 ,21.49
Fantasy,Shrek 2 ,21.49
Fantasy,Shrek 2 ,21.49
Fantasy,Shrek 2 ,21.49
Family,Shrek 2 ,21.49
Family,Shrek 2 ,21.49
Family,Shrek 2 ,21.49
Family,Shrek 2 ,21.49
Family,Shrek 2 ,21.49
Family,Shrek 2 ,21.49
Family,Shrek 2 ,21.49
Family,Shrek 2 ,21.49
Family,Shrek 2 ,21.49
Animation,Shrek 2 ,21.49
Animation,Shrek 2 ,21.49
Animation,Shrek 2 ,21.49
Animation,Shrek 2 ,21.49
Animation,Shrek 2 ,21.49
Animation,Shrek 2 ,21.49
Animation,Shrek 2 ,21.49
Animation,Shrek 2 ,21.49
Animation,Shrek 2 ,21.49
Adventure,Shrek 2 ,21.49
Adventure,Shrek 2 ,21.49
Adventure,Shrek 2 ,21.49
Adventure,Shrek 2 ,21.49
Adventure,Shrek 2 ,21.49
Adventure,Shrek 2 ,21.49
Adventure,Shrek 2 ,21.49
Adventure,Shrek 2 ,21.49
Adventure,Shrek 2 ,21.49
Comedy,Shrek 2 ,21.49
Comedy,Shrek 2 ,21.49
Comedy,Shrek 2 ,21.49
Comedy,Shrek 2 ,21.49
Comedy,Shrek 2 ,21.49
Comedy,Shrek 2 ,21.49
Comedy,Shrek 2 ,21.49
Comedy,Shrek 2 ,21.49
Comedy,Shrek 2 ,21.49
Fantasy,Shrek 2 ,33.99
Fantasy,Shrek 2 ,33.99
Fantasy,Shrek 2 ,33.99
Fantasy,Shrek 2 ,33.99
Fantasy,Shrek 2 ,33.99
Family,Shrek 2 ,33.99
Family,Shrek 2 ,33.99
Family,Shrek 2 ,33.99
Family,Shrek 2 ,33.99
Family,Shrek 2 ,33.99
Animation,Shrek 2 ,33.99
Animation,Shrek 2 ,33.99
Animation,Shrek 2 ,33.99
Animation,Shrek 2 ,33.99
Animation,Shrek 2 ,33.99
Adventure,Shrek 2 ,33.99
Adventure,Shrek 2 ,33.99
Adventure,Shrek 2 ,33.99
Adventure,Shrek 2 ,33.99
Adventure,Shrek 2 ,33.99
Comedy,Shrek 2 ,33.99
Comedy,Shrek 2 ,33.99
Comedy,Shrek 2 ,33.99
Comedy,Shrek 2 ,33.99
Comedy,Shrek 2 ,33.99
Drama,E.T. the Extra-Terrestrial ,23.49
Drama,E.T. the Extra-Terrestrial ,23.49
Drama,E.T. the Extra-Terrestrial ,23.49
Drama,E.T. the Extra-Terrestrial ,23.49
Drama,E.T. the Extra-Terrestrial ,23.49
Drama,E.T. the Extra-Terrestrial ,23.49
Drama,E.T. the Extra-Terrestrial ,23.49
Fantasy,E.T. the Extra-Terrestrial ,23.49
Fantasy,E.T. the Extra-Terrestrial ,23.49
Fantasy,E.T. the Extra-Terrestrial ,23.49
Fantasy,E.T. the Extra-Terrestrial ,23.49
Fantasy,E.T. the Extra-Terrestrial ,23.49
Fantasy,E.T. the Extra-Terrestrial ,23.49
Fantasy,E.T. the Extra-Terrestrial ,23.49
Family,E.T. the Extra-Terrestrial ,23.49
Family,E.T. the Extra-Terrestrial ,23.49
Family,E.T. the Extra-Terrestrial ,23.49
Family,E.T. the Extra-Terrestrial ,23.49
Family,E.T. the Extra-Terrestrial ,23.49
Family,E.T. the Extra-Terrestrial ,23.49
Family,E.T. the Extra-Terrestrial ,23.49
Drama,E.T. the Extra-Terrestrial ,23.45
Drama,E.T. the Extra-Terrestrial ,23.45
Drama,E.T. the Extra-Terrestrial ,23.45
Drama,E.T. the Extra-Terrestrial ,23.45
Drama,E.T. the Extra-Terrestrial ,23.45
Drama,E.T. the Extra-Terrestrial ,23.45
Drama,E.T. the Extra-Terrestrial ,23.45
Drama,E.T. the Extra-Terrestrial ,23.45
Fantasy,E.T. the Extra-Terrestrial ,23.45
Fantasy,E.T. the Extra-Terrestrial ,23.45
Fantasy,E.T. the Extra-Terrestrial ,23.45
Fantasy,E.T. the Extra-Terrestrial ,23.45
Fantasy,E.T. the Extra-Terrestrial ,23.45
Fantasy,E.T. the Extra-Terrestrial ,23.45
Fantasy,E.T. the Extra-Terrestrial ,23.45
Fantasy,E.T. the Extra-Terrestrial ,23.45
Family,E.T. the Extra-Terrestrial ,23.45
Family,E.T. the Extra-Terrestrial ,23.45
Family,E.T. the Extra-Terrestrial ,23.45
Family,E.T. the Extra-Terrestrial ,23.45
Family,E.T. the Extra-Terrestrial ,23.45
Family,E.T. the Extra-Terrestrial ,23.45
Family,E.T. the Extra-Terrestrial ,23.45
Family,E.T. the Extra-Terrestrial ,23.45
Fantasy,Star Wars: Episode I - The Phantom Menace ,15.95
Fantasy,Star Wars: Episode I - The Phantom Menace ,15.95
Fantasy,Star Wars: Episode I - The Phantom Menace ,15.95
Fantasy,Star Wars: Episode I - The Phantom Menace ,15.95
Fantasy,Star Wars: Episode I - The Phantom Menace ,15.95
Fantasy,Star Wars: Episode I - The Phantom Menace ,15.95
Fantasy,Star Wars: Episode I - The Phantom Menace ,15.95
Adventure,Star Wars: Episode I - The Phantom Menace ,15.95
Adventure,Star Wars: Episode I - The Phantom Menace ,15.95
Adventure,Star Wars: Episode I - The Phantom Menace ,15.95
Adventure,Star Wars: Episode I - The Phantom Menace ,15.95
Adventure,Star Wars: Episode I - The Phantom Menace ,15.95
Adventure,Star Wars: Episode I - The Phantom Menace ,15.95
Adventure,Star Wars: Episode I - The Phantom Menace ,15.95
Action,Star Wars: Episode I - The Phantom Menace ,15.95
Action,Star Wars: Episode I - The Phantom Menace ,15.95
Action,Star Wars: Episode I - The Phantom Menace ,15.95
Action,Star Wars: Episode I - The Phantom Menace ,15.95
Action,Star Wars: Episode I - The Phantom Menace ,15.95
Action,Star Wars: Episode I - The Phantom Menace ,15.95
Action,Star Wars: Episode I - The Phantom Menace ,15.95
Fantasy,Star Wars: Episode I - The Phantom Menace ,19.49
Fantasy,Star Wars: Episode I - The Phantom Menace ,19.49
Fantasy,Star Wars: Episode I - The Phantom Menace ,19.49
Fantasy,Star Wars: Episode I - The Phantom Menace ,19.49
Fantasy,Star Wars: Episode I - The Phantom Menace ,19.49
Fantasy,Star Wars: Episode I - The Phantom Menace ,19.49
Fantasy,Star Wars: Episode I - The Phantom Menace ,19.49
Adventure,Star Wars: Episode I - The Phantom Menace ,19.49
Adventure,Star Wars: Episode I - The Phantom Menace ,19.49
Adventure,Star Wars: Episode I - The Phantom Menace ,19.49
